douban_id,imdb
20365404,tt2241351
20365936,tt1990281
20365940,tt2451076
20365943,tt2481198
20365944,tt2236064
20365961,tt2436452
20366071,tt2358629
20366087,tt2821088
20366092,tt14077412
20366095,tt2538812
20366105,tt0490072
20366115,tt2218364
20366122,tt2848062
20366125,tt2620238
20366305,tt2444942
20366317,tt2324786
20366320,tt1420550
20366391,tt5164238
20366438,tt1736156
20366443,tt0092549
20366696,tt1937108
20366702,tt2356298
20366751,tt2272868
20366842,tt1836222
20366858,tt2224004
20366877,tt0259313
20366898,tt2433388
20366900,tt2407896
20366906,tt2404484
20366931,tt2274206
20366932,tt2112921
20366935,tt2194703
20367109,tt2492664
20368624,tt2234048
20368628,tt0155713
20368630,tt1999525
20368634,tt2018130
20368635,tt2248835
20368636,tt1965108
20368638,tt0874968
20368734,tt1941600
20368746,tt3486914
20368749,tt4887036
20368751,tt32776710
20368758,tt3687510
20368760,tt2194499
20368773,tt3920838
20368775,tt2553376
20368781,tt1829880
20368792,tt0205109
20369156,tt0314959
20369263,tt6967268
20369526,tt2420124
20369551,tt1619609
20370130,tt2198888
20370167,tt2504090
20370168,tt2823262
20370170,tt2501158
20370177,tt2525644
20370209,tt2716558
20370273,tt7158090
20370332,tt2061801
20370351,tt2331116
20370353,tt1992282
20370375,tt2356294
20370556,tt2083379
20370890,tt1095413
20374214,tt2388850
20374221,tt2388854
20374241,tt2501066
20374242,tt0472841
20374244,tt1111807
20374257,tt9089704
20374259,tt4685160
20374260,tt2299256
20374303,tt2556962
20374408,tt0439598
20374413,tt2996736
20374428,tt3838604
20374430,tt1960029
20374666,tt2632022
20374677,tt1722361
20374680,tt2069885
20374685,tt1858402
20374687,tt1720189
20374688,tt1753750
20374689,tt2402807
20375168,tt2175997
20375510,tt2186112
20375683,tt0378135
20375685,tt0378399
20375700,tt1177213
20375701,tt2093216
